,url,num_words,is_political,num_links,title,small_title
72,http://www.bbc.com/news/10628994,310,False,76,The BBC News app gives you the best of BBC News wherever you are - BBC News,The BBC News app gives you the best of BBC News wh
73,https://www.bbc.com/news/coronavirus#skip-to-content,1720,True,330,Coronavirus - BBC News,Coronavirus - BBC News
74,https://www.bbc.com/news/coronavirus#orb-footer,1720,True,330,Coronavirus - BBC News,Coronavirus - BBC News
75,https://www.bbc.com/news/coronavirus#core-navigation,1720,True,330,Coronavirus - BBC News,Coronavirus - BBC News
76,https://www.bbc.com/news/world-asia-56870410,1076,True,114,India Covid surge: Hospitals send SOS as record deaths registered - BBC News,India Covid surge: Hospitals send SOS as record de
77,https://www.bbc.com/news/world-middle-east-56868383,784,True,116,Covid-19: Israel records no daily deaths for the first time in 10 months - BBC News,Covid-19: Israel records no daily deaths for the f
78,https://www.bbc.com/news/health-56844220,956,True,114,One Covid vaccine cuts infection rate in all age groups - BBC News,One Covid vaccine cuts infection rate in all age g
79,https://www.bbc.com/news/health-56844220/#comp-comments-button,956,True,114,One Covid vaccine cuts infection rate in all age groups - BBC News,One Covid vaccine cuts infection rate in all age g
80,https://www.bbc.com/news/business-56313507,1212,False,113,Working abroad: 'The pandemic just made it harder' - BBC News,Working abroad: 'The pandemic just made it harder'
81,https://www.bbc.com/news/world-africa-56848551,894,True,118,Coronavirus: WHO urges African nations to keep expired vaccines - BBC News,Coronavirus: WHO urges African nations to keep exp
82,https://www.bbc.com/news/world-asia-india-56844925,1073,False,116,What is the India Covid variant and will vaccines work? - BBC News,What is the India Covid variant and will vaccines 
83,https://www.bbc.com/news/explainers-52380823,1154,True,125,Covid: What is happening with the EU vaccine rollout? - BBC News,Covid: What is happening with the EU vaccine rollo
84,https://www.bbc.com/news/health-56360646,1307,False,113,Is Europe's AstraZeneca jab decision-making flawed? - BBC News,Is Europe's AstraZeneca jab decision-making flawed
85,https://www.bbc.com/news/correspondents/nicktriggle,358,False,119,Nick Triggle | BBC News,Nick Triggle | BBC News
86,https://www.bbc.com/news/world-us-canada-56297329,1210,True,118,Covid: Are some states lifting restrictions too soon? - BBC News,Covid: Are some states lifting restrictions too so
87,https://www.bbc.com/news/health-54145299,1152,False,126,"Covid symptoms: Is it a cold, flu or coronavirus? - BBC News","Covid symptoms: Is it a cold, flu or coronavirus? "
